"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"11-Dec-2023","28-Dec-2023","PE","2,500.00","59.25","60.30","53.05","56.90","56.15","56.90","4,58,000","1,17,09,79,925.00","2,59,79,925.00","8,68,500","5,750"
"08-Dec-2023","28-Dec-2023","PE","2,500.00","58.10","69.15","50.35","59.55","60.30","59.55","7,48,000","1,91,41,95,287.50","4,41,95,287.50","8,62,750","8,750"
"07-Dec-2023","28-Dec-2023","PE","2,500.00","60.55","69.55","56.80","59.65","58.50","59.65","7,34,500","1,88,18,67,212.50","4,56,17,212.50","8,54,000","-22,000"
"06-Dec-2023","28-Dec-2023","PE","2,500.00","65.65","67.05","52.50","56.80","56.80","56.80","14,97,000","3,82,75,55,175.00","8,50,55,175.00","8,76,000","2,94,250"
"05-Dec-2023","28-Dec-2023","PE","2,500.00","77.40","83.00","71.05","72.65","73.65","72.65","3,24,500","83,54,91,337.50","2,42,41,337.50","5,81,750","25,500"
"04-Dec-2023","28-Dec-2023","PE","2,500.00","76.05","95.20","75.15","81.30","82.00","81.30","2,50,250","64,60,32,450.00","2,04,07,450.00","5,56,250","-23,500"
"01-Dec-2023","28-Dec-2023","PE","2,500.00","109.15","110.05","102.00","104.90","104.55","104.90","81,250","21,17,23,200.00","85,98,200.00","5,79,750","26,250"
"30-Nov-2023","28-Dec-2023","PE","2,500.00","100.00","115.90","100.00","112.20","115.00","112.20","3,04,000","79,33,06,712.50","3,33,06,712.50","5,53,500","1,32,000"
"29-Nov-2023","28-Dec-2023","PE","2,500.00","96.00","96.45","85.35","93.35","93.90","93.35","3,03,500","78,65,40,512.50","2,77,90,512.50","4,21,500","1,36,000"
"28-Nov-2023","28-Dec-2023","PE","2,500.00","104.00","114.30","96.75","100.60","98.45","100.60","1,78,500","46,55,16,150.00","1,92,66,150.00","2,85,500","43,000"
"24-Nov-2023","28-Dec-2023","PE","2,500.00","102.00","103.40","97.55","101.30","100.55","101.30","87,750","22,81,21,375.00","87,46,375.00","2,42,500","40,500"
"23-Nov-2023","28-Dec-2023","PE","2,500.00","104.50","106.45","98.25","100.95","100.00","100.95","1,03,750","26,98,97,162.50","1,05,22,162.50","2,02,000","37,500"
"22-Nov-2023","28-Dec-2023","PE","2,500.00","105.50","120.50","102.55","107.05","107.10","107.05","68,500","17,87,37,200.00","74,87,200.00","1,64,500","38,000"
"21-Nov-2023","28-Dec-2023","PE","2,500.00","125.00","125.00","108.20","112.60","116.15","112.60","62,750","16,40,11,100.00","71,36,100.00","1,26,500","29,750"
"20-Nov-2023","28-Dec-2023","PE","2,500.00","138.00","148.65","137.00","139.85","139.70","139.85","23,750","6,27,47,500.00","33,72,500.00","96,750","11,750"
"17-Nov-2023","28-Dec-2023","PE","2,500.00","130.00","133.00","124.00","131.95","131.00","131.95","39,500","10,37,73,462.50","50,23,462.50","85,000","23,000"
"16-Nov-2023","28-Dec-2023","PE","2,500.00","135.60","135.60","122.25","132.10","132.25","132.10","45,500","11,96,53,337.50","59,03,337.50","62,000","34,000"
"15-Nov-2023","28-Dec-2023","PE","2,500.00","145.00","146.70","131.50","132.00","132.00","132.00","15,000","3,95,82,412.50","20,82,412.50","28,000","8,250"
"13-Nov-2023","28-Dec-2023","PE","2,500.00","167.50","167.50","167.50","167.50","167.50","167.50","250","6,66,875.00","41,875.00","19,750","-"
"12-Nov-2023","28-Dec-2023","PE","2,500.00","162.40","162.40","161.00","161.95","161.00","161.95","750","19,96,450.00","1,21,450.00","19,750","750"
"10-Nov-2023","28-Dec-2023","PE","2,500.00","175.00","177.00","170.00","173.00","173.00","175.30","6,250","1,66,94,750.00","10,69,750.00","19,000","6,250"
"09-Nov-2023","28-Dec-2023","PE","2,500.00","162.75","175.00","162.75","175.00","175.00","178.95","1,750","46,70,125.00","2,95,125.00","12,750","1,750"
"08-Nov-2023","28-Dec-2023","PE","2,500.00","149.00","151.50","149.00","150.50","150.50","158.10","5,500","1,45,79,650.00","8,29,650.00","11,000","4,750"
"07-Nov-2023","28-Dec-2023","PE","2,500.00","159.00","161.00","149.75","149.75","149.75","168.05","1,000","26,57,437.50","1,57,437.50","6,250","1,000"
"06-Nov-2023","28-Dec-2023","PE","2,500.00","157.95","157.95","152.10","153.00","153.00","156.00","750","19,90,762.50","1,15,762.50","5,250","250"
"03-Nov-2023","28-Dec-2023","PE","2,500.00","160.00","167.00","160.00","167.00","167.00","167.00","3,250","86,53,562.50","5,28,562.50","5,000","2,750"
"02-Nov-2023","28-Dec-2023","PE","2,500.00","172.80","172.80","172.80","172.80","172.80","171.35","250","6,68,200.00","43,200.00","2,250","250"
"01-Nov-2023","28-Dec-2023","PE","2,500.00","180.00","183.00","180.00","183.00","183.00","183.00","500","13,40,750.00","90,750.00","2,000","250"
"31-Oct-2023","28-Dec-2023","PE","2,500.00","190.00","190.00","190.00","190.00","190.00","198.20","250","6,72,500.00","47,500.00","1,750","250"
"30-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","255.00","255.00","177.85","-","-","-","1,500","-"
"27-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","255.00","255.00","216.65","-","-","-","1,500","-"
"26-Oct-2023","28-Dec-2023","PE","2,500.00","255.00","255.00","255.00","255.00","255.00","251.35","250","6,88,750.00","63,750.00","1,500","250"
"25-Oct-2023","28-Dec-2023","PE","2,500.00","220.00","220.00","220.00","220.00","220.00","223.05","250","6,80,000.00","55,000.00","1,250","250"
"23-Oct-2023","28-Dec-2023","PE","2,500.00","195.00","195.00","195.00","195.00","195.00","218.40","500","13,47,500.00","97,500.00","1,000","250"
"20-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","188.10","-","-","-","750","-"
"19-Oct-2023","28-Dec-2023","PE","2,500.00","-","-","-","192.00","192.00","182.60","-","-","-","750","-"
