"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"21-Nov-2023","28-Dec-2023","CE","2,400.00","36.70","47.60","35.15","43.50","42.85","43.50","14,28,750","3,49,06,21,712.50","6,16,21,712.50","10,61,250","2,85,750"
"20-Nov-2023","28-Dec-2023","CE","2,400.00","38.95","39.00","31.00","33.60","33.45","33.60","5,32,250","1,29,53,43,075.00","1,79,43,075.00","7,75,500","1,84,500"
"17-Nov-2023","28-Dec-2023","CE","2,400.00","38.75","44.90","38.10","39.25","39.00","39.25","4,38,500","1,07,07,97,125.00","1,83,97,125.00","5,91,000","86,500"
"16-Nov-2023","28-Dec-2023","CE","2,400.00","38.20","44.00","36.60","39.10","39.40","39.10","4,91,500","1,19,97,42,700.00","2,01,42,700.00","5,04,500","43,250"
"15-Nov-2023","28-Dec-2023","CE","2,400.00","31.60","40.45","30.55","39.60","40.00","39.60","5,86,500","1,42,86,03,950.00","2,10,03,950.00","4,61,250","8,500"
"13-Nov-2023","28-Dec-2023","CE","2,400.00","28.65","29.50","27.00","28.45","29.50","28.45","89,500","21,73,32,700.00","25,32,700.00","4,52,750","19,250"
"12-Nov-2023","28-Dec-2023","CE","2,400.00","31.45","31.45","29.45","30.40","30.40","30.40","49,250","11,96,92,600.00","14,92,600.00","4,33,500","10,000"
"10-Nov-2023","28-Dec-2023","CE","2,400.00","28.50","30.65","27.25","29.80","30.15","29.80","1,20,500","29,26,58,025.00","34,58,025.00","4,23,500","20,500"
"09-Nov-2023","28-Dec-2023","CE","2,400.00","33.00","33.95","29.15","30.25","31.50","30.25","1,29,000","31,36,33,525.00","40,33,525.00","4,03,000","37,750"
"08-Nov-2023","28-Dec-2023","CE","2,400.00","34.40","38.25","32.85","34.05","34.00","34.05","93,000","22,65,20,537.50","33,20,537.50","3,65,250","8,250"
"07-Nov-2023","28-Dec-2023","CE","2,400.00","36.60","37.00","33.05","34.40","34.05","34.40","1,01,000","24,59,17,250.00","35,17,250.00","3,57,000","36,500"
"06-Nov-2023","28-Dec-2023","CE","2,400.00","34.85","37.20","33.00","36.60","36.40","36.60","1,50,000","36,53,12,562.50","53,12,562.50","3,20,500","7,750"
